 id |        iccid         |     msisdn      | device_name | is_active | status |  organization   | truck | device_serial |    country    |    network_name    |    last_location_update    |      last_sync_at       
----+----------------------+-----------------+-------------+-----------+--------+-----------------+-------+---------------+---------------+--------------------+----------------------------+-------------------------
 65 | 89444611503507318127 | 883190603657507 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.684065 | 2026-04-14 14:55:32.715
 80 | 89444611503507318093 | 883190603657506 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.686111 | 
 81 | 89444611503507318101 | 883190603657501 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.688137 | 
 83 | 89444611503507318135 | 883190603657502 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.690164 | 
 84 | 89444611503507318143 | 883190603657504 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.692214 | 
 85 | 89444611503507318150 | 883190603657505 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.694357 | 
 86 | 89444611503507318325 | 883190603657500 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.696531 | 
 87 | 89444611503508862610 | 883190603748135 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.698502 | 
 57 | 89444611503504517911 | 883190603571832 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.700485 | 2026-04-14 14:55:32.301
 75 | 89444611503507317889 | 883190603659413 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.702538 | 
 61 | 89444611503504616309 | 883190603400854 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.704695 | 2026-04-14 14:55:32.406
 71 | 89444611503507317822 | 883190603659407 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.706753 | 
 72 | 89444611503507317830 | 883190603659408 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.708809 | 
 73 | 89444611503507317848 | 883190603659421 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.71096  | 
 74 | 89444611503507317855 | 883190603659435 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.713062 | 
 51 | 89444611503504517838 | 883190603571831 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.715072 | 2026-04-14 14:55:32.136
 66 | 89444611503504517846 | 883190603571826 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.717002 | 
 67 | 89444611503504517853 | 883190603571829 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.719027 | 
 53 | 89444611503504517879 | 883190603571830 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.721008 | 2026-04-14 14:55:32.211
 54 | 89444611503504517887 | 883190603571824 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.723027 | 2026-04-14 14:55:32.214
 55 | 89444611503504517895 | 883190603571825 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.725077 | 2026-04-14 14:55:32.219
  3 | 89444611503504517903 | 883190603571827 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.727091 | 2026-04-14 14:55:32.297
 68 | 89444611503504517929 | 883190603571823 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.729092 | 
 58 | 89444611503504616259 | 883190603400849 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.73107  | 2026-04-14 14:55:32.311
 69 | 89444611503504616267 | 883190603400851 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.733134 | 
 59 | 89444611503504616275 | 883190603400852 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.735176 | 2026-04-14 14:55:32.321
  4 | 89444611503504616283 | 883190603400853 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.737263 | 2026-04-14 14:55:32.397
 62 | 89444611503507317863 | 883190603659411 |             | t         | active | GTO Fast Racing |       |               | United States | AT&T Wireless Inc. | 2026-04-14 15:23:16.739242 | 2026-04-14 14:55:32.498
 63 | 89444611503507317871 | 883190603659432 |             | t         | active | GTO Fast Racing |       |               | United States | T-Mobile           | 2026-04-14 15:23:16.741276 | 2026-04-14 14:55:32.501
 76 | 89444611503507317897 | 883190603659423 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.743308 | 
 77 | 89444611503507317905 | 883190603659415 |             | t         | active | GTO Fast Racing |       |               |               |                    | 2026-04-14 15:23:16.745328 | 
