       recorded_at       | pulse_count | frequency  | voltage 
-------------------------+-------------+------------+---------
 2026-01-15 00:12:40.087 |      340106 |          0 |        
 2026-01-15 00:12:44.931 |      340511 |   83.60859 |        
 2026-01-15 00:12:48.728 |      340617 |  27.916777 |        
 2026-01-15 00:19:05.91  |      340722 |          0 |        
 2026-01-15 00:19:16.871 |      340870 |  13.502418 |        
 2026-01-15 00:19:20.449 |      340995 |   34.93572 |        
 2026-01-15 00:19:38.005 |      341113 |   6.721349 |        
 2026-01-15 00:19:46.04  |      341301 |  23.397635 |        
 2026-01-15 00:20:10.181 |      341454 |  6.3377657 |        
 2026-01-15 00:20:14.619 |      341718 |  59.486256 |        
 2026-01-15 00:20:18.023 |      341905 |   54.93537 |        
 2026-01-15 00:20:34.037 |      342027 |   7.618334 |        
 2026-01-15 00:20:47.682 |      342199 |   12.60535 |        
 2026-01-15 00:20:51.475 |      342302 |  27.155287 |        
 2026-01-15 00:21:03.031 |      342408 |   9.172724 |        
 2026-01-15 00:21:10.989 |      342528 |  15.079165 |        
 2026-01-15 00:21:15.239 |      342678 |  35.294117 |        
 2026-01-15 00:21:20.578 |      343291 | 114.815506 |        
 2026-01-15 00:21:26.37  |      343394 |   17.78315 |        
 2026-01-15 00:21:30.048 |      343787 |  106.85155 |        
 2026-01-15 00:21:33.848 |      344142 |   93.42105 |        
 2026-01-15 00:21:37.177 |      344594 |   135.7765 |        
 2026-01-15 00:21:40.836 |      344820 |   61.76551 |        
 2026-01-15 00:21:45.304 |      344962 |  31.781557 |        
 2026-01-15 00:21:52.025 |      345113 |  22.466894 |        
 2026-01-15 00:21:55.645 |      345305 |  53.038673 |        
 2026-01-15 00:21:59.404 |      345423 |  31.391327 |        
 2026-01-15 00:22:05.918 |      345554 |   20.11053 |        
 2026-01-15 00:22:16.804 |      345690 |  12.493111 |        
 2026-01-15 00:25:07.162 |      345790 |  0.5869991 |        
 2026-01-15 00:25:12.834 |      346013 |  39.315937 |        
 2026-01-15 00:25:16.405 |      346206 |  54.046486 |        
 2026-01-15 00:25:23.808 |      346352 |  19.721735 |        
 2026-01-15 00:25:27.724 |      346518 |  42.390194 |        
 2026-01-15 00:25:31.284 |      346686 |   47.19101 |        
 2026-01-15 00:25:34.968 |      346914 |   61.88925 |        
 2026-01-15 00:25:38.588 |      347208 |   81.21547 |        
 2026-01-15 00:25:42.375 |      347325 |  30.895168 |        
 2026-01-15 00:25:46.164 |      347563 |  62.813408 |        
 2026-01-15 00:25:56.878 |      347671 |  10.080269 |        
 2026-01-15 00:26:19.11  |      347845 |   7.826556 |        
 2026-01-15 00:26:26.811 |      347949 |   13.50474 |        
