$ sudo journalctl -u device-manager --since "3 minutes ago" | tail -50
Jan 25 19:33:32 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:32.972Z","level":"info","message":"Skipping devices with inactive trucks","service":"device-manager","devices":[{"name":"DCL-Elite-Hospitality","truck":"TRK-01"},{"name":"DCL-Thibert","truck":"RTR-01"}]}
Jan 25 19:33:34 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:34.772Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":10,"voltage2":0.039527613669633865,"todayParkedMinutes":1174,"monthParkedMinutes":32809,"completedDaysMinutes":31635,"parkedSince":"2025-12-29T23:38:19.012Z"}
Jan 25 19:33:34 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:34.777Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":11,"voltage2":0.046912457793951035,"todayParkedMinutes":1174,"monthParkedMinutes":29522,"completedDaysMinutes":28348,"parkedSince":"2025-12-29T23:38:54.005Z"}
Jan 25 19:33:36 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:36.786Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":7,"voltage2":0.03699362277984619,"todayParkedMinutes":1174,"monthParkedMinutes":30027,"completedDaysMinutes":28853,"parkedSince":"2025-12-29T23:22:12.507Z"}
Jan 25 19:33:38 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:38.792Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":3,"voltage2":0.040810007601976395,"todayParkedMinutes":1174,"monthParkedMinutes":28105,"completedDaysMinutes":26931,"parkedSince":"2025-12-23T05:46:33.423Z"}
Jan 25 19:33:38 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:38.802Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":5,"voltage2":0.03656474128365517,"todayParkedMinutes":1174,"monthParkedMinutes":29015,"completedDaysMinutes":27841,"parkedSince":"2025-12-03T17:15:48.621Z"}
Jan 25 19:33:40 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:40.810Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":8,"voltage2":0.0418548658490181,"todayParkedMinutes":1174,"monthParkedMinutes":29614,"completedDaysMinutes":28440,"parkedSince":"2025-12-29T23:27:57.493Z"}
Jan 25 19:33:42 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:42.818Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":9,"voltage2":0.037530720233917236,"todayParkedMinutes":1174,"monthParkedMinutes":29103,"completedDaysMinutes":27929,"parkedSince":"2025-12-29T23:36:00.503Z"}
Jan 25 19:33:44 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:44.824Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":12,"voltage2":0.042145680636167526,"todayParkedMinutes":1174,"monthParkedMinutes":35172,"completedDaysMinutes":33998,"parkedSince":"2025-12-30T22:17:33.057Z"}
Jan 25 19:33:46 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:33:46.058Z","level":"info","message":"Skipping devices with inactive trucks","service":"device-manager","devices":[{"name":"DCL-Elite-Hospitality","truck":"TRK-01"},{"name":"DCL-Thibert","truck":"RTR-01"}]}
