# Truck: GFR-69 · Fleet: GFR · Granularity: Per minute · Range: 2026-05-04T07:00:00.000Z → 2026-05-06T06:59:59.999Z · Rows: 1478 · Generated: 2026-05-06T14:31:03.875Z
Truck Number,Fleet,PowerMon Serial,Timestamp,Voltage 1 (Chassis),Voltage 2 (Sleeper),Current (A),Power (W),SOC (%),Temperature (°F),Energy Remaining (kWh),Charge (Ah),Signal RSSI,Power Status,Parked,Latitude,Longitude
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T20:53:00.000Z,13.52,12.05,0.21,2.9,100.0,77.5,10.37,13.27,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T20:54:00.000Z,13.51,12.06,1.23,16.7,100.0,77.5,10.37,13.28,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T20:55:00.000Z,13.50,12.06,0.70,9.4,100.0,77.5,10.37,13.30,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T20:56:00.000Z,13.50,12.05,0.65,8.7,100.0,77.5,10.37,13.31,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T20:57:00.000Z,13.50,12.06,0.68,9.2,100.0,77.5,10.37,13.32,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T20:58:00.000Z,13.49,12.06,0.69,9.3,100.0,77.5,10.37,13.33,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T20:59:00.000Z,13.49,12.06,0.58,7.8,100.0,77.5,10.37,13.34,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:00:00.000Z,13.49,12.06,0.61,8.2,100.0,77.5,10.37,13.35,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:01:00.000Z,13.49,12.05,0.53,7.2,100.0,77.5,10.37,13.36,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:02:00.000Z,13.49,12.05,0.45,6.0,100.0,77.5,10.37,13.37,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:03:00.000Z,13.48,12.05,0.37,5.0,100.0,77.5,10.37,13.38,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:04:00.000Z,13.48,12.05,0.32,4.3,100.0,77.5,10.37,13.38,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:05:00.000Z,13.49,12.05,0.17,2.4,100.0,77.5,10.37,13.39,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:06:00.000Z,13.49,12.05,0.14,1.9,100.0,77.6,10.37,13.39,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:07:00.000Z,13.49,12.05,0.08,1.1,100.0,77.6,10.37,13.39,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:08:00.000Z,13.49,12.05,0.09,1.1,100.0,77.6,10.37,13.39,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:09:00.000Z,13.49,12.06,0.08,1.1,100.0,77.6,10.37,13.40,-32768,OFF,Yes,,
GFR-69,GFR,A998463C2C69ABFD,2026-05-04T21:10:00.000Z,13.49,12.05,0.09,1.2,100.0,77.6,10.37,13.40,-32768,OFF,Yes,,
